code,META_LoincName,META_ReferenceUnit,META_DataType,raw_value_exact,row_count
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,8L 30%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 8/5 25%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100% VENT 100% ECMO,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40% 40 L,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,E80 sw1.5,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"50,000 CFU/mL Streptococcus anginosus group",3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,">100,000 CFU/mL Hafnia species",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,NS,3
CRYPTAGTRBLD//11473-6,Cryptococcus sp Ag [Titer] in Specimen,,Category,1:1280,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 10/5 45%,3
TPOAB//8099-4,Thyroperoxidase Ab [Units/volume] in Serum or Plasma,IU/mL,,Test Not Performed,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"50,000 CFU/mL Citrobacter freundii",3
HCVQPCR//10676-5,Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by Probe with amplification,IU/mL,,>69000000,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VA ECMO 70% sweep 1,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30% 7L,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 45%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,vc 400/20/10/40%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,35% vent,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,6L 28%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 12/5 30%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,3 Lpm NC,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100% vent and ECMO,3
CD8ABSCT//8137-2,Deprecated CD8 cells [#/volume] in Blood,/cmm,Number,>3578,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,28% TC,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,Fio2 50%,3
PROLACTIN//2842-3,Prolactin [Mass/volume] in Serum or Plasma,ng/mL,Number,>9400,3
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Clostridioides (Clostridium) difficile,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,15L/min,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"vent30%,ecmo60%sweep1",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,95%/15L,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC PEEP 7 40%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,hfnc 50%/20L,3
PROTQNUR//2889-4,Protein [Mass/time] in 24 hour Urine,mg/24 hr,,<5,3
MICAABSPEC//74409-4,MICA IgG panel - Serum,,,Negative,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 7/5 @30%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40%30L HFNC,3
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<240,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60% + PEEP 5,3
ZINCSER//5763-8,Zinc [Mass/volume] in Serum or Plasma,ug/dL,,<10.0,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,,3 LNC,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,35%; PEEP 5,3
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<83,3
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Aspergillus flavus-oryzae group,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 40%/60L,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HF 40/40,3
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Salmonella species,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,5l nc,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60% 40LPM,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,fio2 40% peep 8,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,10L/min,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40 fio2,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,E80 S2,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,21% +5,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFTC 50L/40%,3
BKVBLD//32284-2,BK virus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,,Number,>100000000,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"S4 100%, vent 100%",3
GANCICLOHPLC//15367-6,Ganciclovir [Mass/volume] in Serum or Plasma,,,NONE DETECTED,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 40/30,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30%/PEEP 5,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PRVC 50%,3
FSH//15067-2,Follitropin [Units/volume] in Serum or Plasma,mIU/mL,Number,<0.100,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,TC 28%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,45%/50L,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,6L/28%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,fi02 30%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,90% peep 10,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"20,000 CFU/mL Corynebacterium species, not urealyticum",3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"60,000 CFU/mL Enterobacter aerogenes (Klebsiella aerogenes)",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,V40,3
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<52,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,4 liters,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"50,000 CFU/mL Candida tropicalis",3
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Few Aspergillus fumigatus,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"40% PC, 100% VV ECMO",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PEEP 12 50%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"sweep 0, 60%, vent 40%",3
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<70,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,80% 30LPM HFNC,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ACVC+ 35% r18,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"80,000 CFU/mL Coryneform bacteria",3
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Raoultella species,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40% 20 L/min,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 50% PEEP 5,3
CURBC//5630-9,Copper [Mass/volume] in Red Blood Cells,mg/L,,SEE NOTE,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 12/8 35%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 30% Peep 5,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100/100,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,Vent 70% / ECMO 100%,3
A1ATRYPPHEN//32769-2,Alpha 1 antitrypsin phenotype [Interpretation] in Serum or Plasma,,,GM,3
HEPBSURABCON//10900-9,Hepatitis B virus surface Ab [Presence] in Serum by Immunoassay,,,NEGATIVE,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,">100,000 CFU/mL Staphylococcus capitis",3
BILITOT//1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,mg/dL,,Test Not Performed,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC+ 350/14/10/40%,3
FUCULRSP//577-7,Fungus identified in Sputum by Culture,,Category,Syncephalastrum species,3
PROTUR//20454-5,Protein [Presence] in Urine by Test strip,,,4+,3
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<275,3
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,"Many Pseudomonas species, not aeruginosa",3
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<126,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 30% 5/5,3
PROCAL//33959-8,Procalcitonin [Mass/volume] in Serum or Plasma,ug/L,Number,>99.73,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100%+15,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,NC 1 LITER,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 30,3
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<245,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"ACVC+ rate 32, peep 10, fio2 50%",3
GLUCOSEPOC//2339-0,Glucose [Mass/volume] in Blood,mg/dL,Number,<25,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"ECMO Sweep 8 Fio2 100%, Trach PS 5/5 60%",3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,Rare Staphylococcus-like colonies,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50%40L,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,Moderate Pseudomonas-like colonies,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 23/8 R26 40%,3
NICOTINEUR//3854-7,Nicotine [Mass/volume] in Urine,ng/mL,,>2000,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,2 lpm,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"100,000 CFU/mL Staphylococcus hominis",3
ANAABTITER//9423-5,Nuclear Ab [Units/volume] in Serum by Immunofluorescence,titer,Category,1:40 CENTROMERE,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,room air 21%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ECMO 100% 5L / ACPC 40% 15/10,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VC TV 450, Rate 14, PEEP 5, 30%",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,25% PS,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,Bipap 60%,3
GLUCOSEPOC//2339-0,Glucose [Mass/volume] in Blood,mg/dL,Number,<15,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,48%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"PC 14/7, 18, 40%",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ecmo sweep 15 fio2 100 vent pc 20 peep 10 fio2 100,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50% PEEP 14,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30%/ peep 5,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,53%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 10/5/40%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 15/10 30%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,35% + 8,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VC+ 14, 450, 10, 30%",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60% peep 7,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60/60,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,28% and 6 Litre,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PEEP 8 100%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100%/peep 10,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,">100,000 CFU/mL Enterococcus raffinosus",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100% ECMO/Sweep 7/Vent 100%,3
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<82,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 14/8 40%,3
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Few Mold,3
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<257,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VC 450, RR 12, PEEP 5, 40% FiO2",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC RR 35 60% PEEP 5,3
KETONES//2513-0,Ketones [Presence] in Serum or Plasma,,,Test Not Performed,3
BILITOT//15152-2,Bilirubin.conjugated [Mass/volume] in Serum or Plasma,mg/dL,,<0.1,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"PEEP 5, 30%",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 45% 40L,3
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Aeromonas species,3
T3AUTO//3051-0,Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma,pg/dL,Number,>2900,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,Moderate Morganella morganii,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,hfnc 40L 60%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 25L 40%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,NC 4 liters,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 10/5 fio2 40%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 30% / 20LPM,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 30%+5,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HF NC 40%/40L,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 60% 30L,3
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Clostridium species,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 14/8 60%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 16/360/40%/5,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30% / PEEP 5,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,TC 28%/ 6L,3
MONOABS//742-7,Monocytes [#/volume] in Blood by Automated count,10Â³/uL,,----,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 50%40L,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,Rare Coryneform bacteria,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30% PS 7/8,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"50,000 CFU/mL Proteus penneri",3
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<293,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,face tent 40L 40%,3
ANAABTITER//9423-5,Nuclear Ab [Units/volume] in Serum by Immunofluorescence,titer,Category,1:320 ATYPICAL SPECKLED,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60/40,3
REDSUBSTL//11060-1,Reducing substances [Presence] in Stool,,,4+ (2.0 g/dL),3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ps 45%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,%,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,Few Viridans strep-like colonies,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,nasal canula,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"<10,000 CFU/mL Candida albicans",3
FUCULRSP//577-7,Fungus identified in Sputum by Culture,,Category,Geotrichum species,3
FUCUL//580-1,Fungus identified in Specimen by Culture,,Category,Aspergillus nidulans,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC70%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"PS 7/5, 35%",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,5/5 30%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"PC 20, 10/10, 50%",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"HFNC 21%, 40 L",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,vc 400 28 +8 50%,3
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Meropenem-Resistant Acinetobacter Baumannii,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"60%vent, 100%ecmo",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30% PC 14/5,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VENT FIO2 30%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 10/10/30%,3
BNP//30934-4,Natriuretic peptide B [Mass/volume] in Serum or Plasma,pg/mL,Number,>5065,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 410; 26; 8; 75%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"PC 50%, R-16, 8/+10",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,NC 0.5,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,28% FIO2,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ECMO100%S2,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"PS 5/5, 25%",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 24/315/5/30,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50% VENT 100% ECMO,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VC+, TV420, PEEP10, 30%",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50/100,3
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<229,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30%/PEEP8,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 70%,3
PHSTL//2755-7,pH of Stool,,,: 8.0,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,Many Pseudomonas fluorescens,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,25%/peep5,3
CALCIUM//17861-6,Calcium [Mass/volume] in Serum or Plasma,mg/dL,,<0.8,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50% Bipap,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40% 40 L HFNC,3
CURBC//5630-9,Copper [Mass/volume] in Red Blood Cells,mg/L,,Unable to calculate with a reason.,3
CRP//1988-5,C reactive protein [Mass/volume] in Serum or Plasma,mg/dL,Number,>19.0,3
FUCULBLD//601-5,Fungus identified in Blood by Culture,,Category,Enterobacter cloacae complex,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"100,000 CFU/mL Proteus penneri",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,FIO 50%,3
PROTCAG//27820-0,Protein C Ag actual/normal in Platelet poor plasma by Immunoassay,% normal,,>150,3
CRYPTAGTRBLD//11473-6,Cryptococcus sp Ag [Titer] in Specimen,,,1:2,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HF NC 30%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,vent 30/5,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30% Peep 10,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,80% Peep 12,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 60%/60L,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"100% ECMO, 50% vent",3
PROTUR//20454-5,Protein [Presence] in Urine by Test strip,,,300mg/dl,3
TOXOPLIGM//12262-2,Toxoplasma gondii IgM Ab [Titer] in Serum by Immunoassay,,,Reactive,3
HGBA1CHTL//4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,%,,>14.0,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50%/40L on HFNC,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,8L Simple Mask,3
FUCULRSP//577-7,Fungus identified in Sputum by Culture,,Category,Yeast-like organism,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 8/10 40%,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"90,000 CFU/mL Methicillin Resistant Staphylococcus aureus",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC+ 40% + 5,3
FUCULBLD//601-5,Fungus identified in Blood by Culture,,Category,Lactose Negative Gram Negative Rod,3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"50,000 CFU/mL Aerococcus urinae",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 300/22/5/35%,3
KETONESUR//5797-6,Ketones [Mass/volume] in Urine by Test strip,,,Moderate- 40 mg/dL,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,AVAP 30%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"60% VC 420, PEEP 8, rate 28",3
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,">100,000 CFU/mL Burkholderia cepacia group",3
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Many Pseudomonas fluorescens,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,35% Peep 5,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60% PEEP 7,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30 vent,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30% vent 100% S 2 ECMO,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50% PEEP 10 p/c,3
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<95,3
FUCULBLD//601-5,Fungus identified in Blood by Culture,,Category,Candida lusitaniae,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40L 35%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ecmo 100% sweep 8; RA,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"HFNC 40L, 40%",3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ECMO 70% SWEEP 5 / VENT 50%,3
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<236,3
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Geotrichum species,3
EOSPCT//713-8,Eosinophils/100 leukocytes in Blood by Automated count,%,,----,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40L 45%,3
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<264,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30% FiO2 on PC 10/10,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30% 30 L,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,Vent FiO2 @ 25%,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40% P10,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,Vent 50% ECMO 100%,3
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Finegoldia magna,3
ICALUNCOR//1994-3,Calcium.ionized [Moles/volume] in Blood,mmol/L,,Test Not Performed,3
FECALFATQUAL//2270-7,Fat [Presence] in Stool,,,FAT SLIGHTLY INCREASED,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60%/60L,3
GFR//45066-8,"Creatinine and Glomerular filtration rate.predicted panel - Serum, Plasma or Blood",,,Test Not Performed,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 14/550/30%/5,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 100% 8lpm,3
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40% 40 L/min,3
