code,META_LoincName,META_ReferenceUnit,META_DataType,raw_value_exact,row_count,bucket
A1ATRYPSER//1825-9,Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma,mg/dL,,<20,4,numeric_like
REDSUBSTL//11060-1,Reducing substances [Presence] in Stool,,,: NEGATIVE,4,binary
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 90%,4,unknown
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Scedosporium prolificans,4,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,%25,4,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40% PS 10/8,4,free_text
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<289,4,numeric_like
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<299,4,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"50%, PEEP 10",4,free_text
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"30,000 CFU/mL Coryneform bacteria",4,organism
WBC//6690-2,Leukocytes [#/volume] in Blood by Automated count,10Â³/uL,,----,4,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 40%/15L,4,free_text
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Citrobacter amalonaticus,4,organism
AST//1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,U/L,Number,>35000,4,numeric_like
ADENOQNCPML//49340-3,Adenovirus DNA [#/volume] (viral load) in Specimen by NAA with probe detection,,,">10,000,000",4,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,28% 6L TC,4,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"40%, 30L",4,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ecmo 100,4,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40% PEEP8,4,free_text
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<160,4,numeric_like
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<65,4,numeric_like
FUCULBLD//601-5,Fungus identified in Blood by Culture,,Category,Klebsiella oxytoca,4,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50%/100%,4,unknown
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,Few Klebsiella oxytoca,4,organism
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Probable candida albicans,4,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40L/60%,4,unknown
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"60,000 CFU/mL Lactose Negative Gram Negative Rod",4,organism
VZVAB//22600-1,Varicella zoster virus Ab [Presence] in Serum,,,NEGATIVE,4,binary
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"30%, PEEP 6",4,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,Face Tent 40% 10L,4,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40% PEEP 6,4,free_text
PROTUR//2888-6,Protein [Mass/volume] in Urine,mg/dL,,Test Not Performed,4,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC FiO2 35% peep 5,4,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,3 liters NC,4,free_text
BUN//6299-2,Urea nitrogen [Mass/volume] in Blood,mg/dL,,Test Not Performed,4,free_text
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Alpha streptococcus,4,organism
GYNINT//33717-0,Cervical AndOr vaginal cytology study,,Category,"EPITHELIAL CELL ABNORMALITY: GLANDULAR CELL: Atypical glandular cells, favor neoplastic.",4,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,E100 S7 V80,4,free_text
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"20,000 CFU/mL Coryneform bacteria",4,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,FiO2 40,4,unknown
KETONES//2513-0,Ketones [Presence] in Serum or Plasma,,,"LARGE,AT 1:2 DIL",4,ordinal
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ACVC 30%,4,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,70% PEEP 10 p/c,4,free_text
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<208,4,numeric_like
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,Many Aerococcus urinae,4,ordinal
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"60,000 CFU/mL Morganella morganii",4,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 40% 5/5,4,free_text
CEAG//2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,ng/mL,,<0.2,4,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30% FiO2 PEEP 8,4,free_text
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,">100,000 CFU/mL Serratia rubidaea",4,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 8 PEEP 12 70% rate 14,4,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 40% PEEP 10,4,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,20L 40%,4,unknown
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Many Non-Fermenting Gram Negative Rod,4,binary
GLUCSF//2342-4,Glucose [Mass/volume] in Cerebral spinal fluid,mg/dL,,<10,4,numeric_like
PROTUR//20454-5,Protein [Presence] in Urine by Test strip,,,300+++,4,unknown
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Citrobacter species,4,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100% 50L,4,free_text
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<222,4,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,28% 40L,4,unknown
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Staphylococcus saprophyticus,4,organism
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<112,4,numeric_like
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Rare Citrobacter freundii complex,4,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,vc 480 26 +7 50%,4,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,NC 1LPM,4,unknown
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"50,000 CFU/mL Lactobacillus species",4,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,80% 8,4,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,70% 60L,4,unknown
PIVKA2//34444-0,Acarboxyprothrombin [Mass/volume] in Serum or Plasma,ng/mL,,See Note,4,free_text
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<263,4,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30%/6L,4,unknown
EBVVCAIGM//5160-7,Epstein Barr virus capsid IgM Ab [Titer] in Serum by Immunofluorescence,,,POSITIVE,4,binary
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"80,000 CFU/mL Lactose Positive Gram Negative Rod",4,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,1 liter NC,4,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,35%/40L,4,unknown
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,">100,000 CFU/mL Proteus hauseri",4,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,3l/min,4,numeric_like
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Corynebacterium amycolatum,4,organism
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"Moderate Corynebacterium species, not urealyticum",4,organism
FACTOR5//3193-0,Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay,% act.,,<6,4,numeric_like
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<305,4,numeric_like
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Mycobacterium fortuitum group,4,organism
SPECGRAVUR//2965-2,Specific gravity of Urine,,Number,<=1.005,4,numeric_like
FUCUL//580-1,Fungus identified in Specimen by Culture,,Category,Cryptococcus neoformans,4,organism
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"30,000 CFU/mL Staphylococcus epidermidis",4,organism
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Many Raoultella ornithinolytica,4,ordinal
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Rare Acinetobacter baumannii complex,4,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,4 lpm,4,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,21% VC,4,unknown
FUCUL//580-1,Fungus identified in Specimen by Culture,,Category,Mucor species,4,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50% + PEEP 5,4,free_text
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"100,000 CFU/mL Achromobacter species",4,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 7/5 0.3,4,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VA 100% Sw 1;  PS 40% 10/5,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"100% ECMO, 2 L NC",3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,Vent FiO2 40%,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ps 10/10 40%,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,5 peep 40% fio2,3,free_text
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Rare Pantoea agglomerans,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"5 peep, 30 fio2",3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40L/85%,3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VC+ 14, 450, 5, 30%",3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ET VC+ 30%,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 14/5 50%,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 410 PEEP 12 60% RR 26,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 70/12 VA 100 S 2,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 480/7 70%,3,free_text
NA//2951-2,Sodium [Moles/volume] in Serum or Plasma,mmol/L,,>180,3,numeric_like
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"20,000 CFU/mL Yeast-like organism",3,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,65% PEEP 10,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 30% 15 L,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 40/10,3,free_text
FUCUL//580-1,Fungus identified in Specimen by Culture,,Category,Paecilomyces variotii,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 5/30%,3,free_text
PROLACTIN//2842-3,Prolactin [Mass/volume] in Serum or Plasma,ng/mL,,<0.5,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,35% peep 8,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,8L 30%,3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 8/5 25%,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100% VENT 100% ECMO,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40% 40 L,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,E80 sw1.5,3,free_text
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"50,000 CFU/mL Streptococcus anginosus group",3,organism
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,">100,000 CFU/mL Hafnia species",3,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,NS,3,units_as_values
CRYPTAGTRBLD//11473-6,Cryptococcus sp Ag [Titer] in Specimen,,Category,1:1280,3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 10/5 45%,3,free_text
TPOAB//8099-4,Thyroperoxidase Ab [Units/volume] in Serum or Plasma,IU/mL,,Test Not Performed,3,free_text
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"50,000 CFU/mL Citrobacter freundii",3,organism
HCVQPCR//10676-5,Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by Probe with amplification,IU/mL,,>69000000,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VA ECMO 70% sweep 1,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30% 7L,3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 45%,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,vc 400/20/10/40%,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,35% vent,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,6L 28%,3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 12/5 30%,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,3 Lpm NC,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100% vent and ECMO,3,free_text
CD8ABSCT//8137-2,Deprecated CD8 cells [#/volume] in Blood,/cmm,Number,>3578,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,28% TC,3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,Fio2 50%,3,free_text
PROLACTIN//2842-3,Prolactin [Mass/volume] in Serum or Plasma,ng/mL,Number,>9400,3,numeric_like
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Clostridioides (Clostridium) difficile,3,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,15L/min,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"vent30%,ecmo60%sweep1",3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,95%/15L,3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC PEEP 7 40%,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,hfnc 50%/20L,3,free_text
PROTQNUR//2889-4,Protein [Mass/time] in 24 hour Urine,mg/24 hr,,<5,3,numeric_like
MICAABSPEC//74409-4,MICA IgG panel - Serum,,,Negative,3,binary
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 7/5 @30%,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40%30L HFNC,3,free_text
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<240,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60% + PEEP 5,3,free_text
ZINCSER//5763-8,Zinc [Mass/volume] in Serum or Plasma,ug/dL,,<10.0,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,,3 LNC,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,35%; PEEP 5,3,free_text
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<83,3,numeric_like
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Aspergillus flavus-oryzae group,3,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 40%/60L,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HF 40/40,3,free_text
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Salmonella species,3,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,5l nc,3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60% 40LPM,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,fio2 40% peep 8,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,10L/min,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40 fio2,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,E80 S2,3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,21% +5,3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFTC 50L/40%,3,free_text
BKVBLD//32284-2,BK virus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,,Number,>100000000,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"S4 100%, vent 100%",3,free_text
GANCICLOHPLC//15367-6,Ganciclovir [Mass/volume] in Serum or Plasma,,,NONE DETECTED,3,binary
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 40/30,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30%/PEEP 5,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PRVC 50%,3,free_text
FSH//15067-2,Follitropin [Units/volume] in Serum or Plasma,mIU/mL,Number,<0.100,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,TC 28%,3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,45%/50L,3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,6L/28%,3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,fi02 30%,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,90% peep 10,3,free_text
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"20,000 CFU/mL Corynebacterium species, not urealyticum",3,organism
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"60,000 CFU/mL Enterobacter aerogenes (Klebsiella aerogenes)",3,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,V40,3,units_as_values
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<52,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,4 liters,3,numeric_like
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"50,000 CFU/mL Candida tropicalis",3,organism
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Few Aspergillus fumigatus,3,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"40% PC, 100% VV ECMO",3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PEEP 12 50%,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"sweep 0, 60%, vent 40%",3,free_text
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<70,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,80% 30LPM HFNC,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ACVC+ 35% r18,3,free_text
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"80,000 CFU/mL Coryneform bacteria",3,organism
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Raoultella species,3,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40% 20 L/min,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 50% PEEP 5,3,free_text
CURBC//5630-9,Copper [Mass/volume] in Red Blood Cells,mg/L,,SEE NOTE,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 12/8 35%,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 30% Peep 5,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100/100,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,Vent 70% / ECMO 100%,3,free_text
A1ATRYPPHEN//32769-2,Alpha 1 antitrypsin phenotype [Interpretation] in Serum or Plasma,,,GM,3,units_as_values
HEPBSURABCON//10900-9,Hepatitis B virus surface Ab [Presence] in Serum by Immunoassay,,,NEGATIVE,3,binary
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,">100,000 CFU/mL Staphylococcus capitis",3,organism
BILITOT//1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,mg/dL,,Test Not Performed,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC+ 350/14/10/40%,3,free_text
FUCULRSP//577-7,Fungus identified in Sputum by Culture,,Category,Syncephalastrum species,3,organism
PROTUR//20454-5,Protein [Presence] in Urine by Test strip,,,4+,3,ordinal
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<275,3,numeric_like
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,"Many Pseudomonas species, not aeruginosa",3,organism
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<126,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 30% 5/5,3,free_text
PROCAL//33959-8,Procalcitonin [Mass/volume] in Serum or Plasma,ug/L,Number,>99.73,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100%+15,3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,NC 1 LITER,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 30,3,unknown
TIBC//2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,mcg/dL,Number,<245,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"ACVC+ rate 32, peep 10, fio2 50%",3,free_text
GLUCOSEPOC//2339-0,Glucose [Mass/volume] in Blood,mg/dL,Number,<25,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"ECMO Sweep 8 Fio2 100%, Trach PS 5/5 60%",3,free_text
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,Rare Staphylococcus-like colonies,3,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50%40L,3,unknown
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,Moderate Pseudomonas-like colonies,3,organism
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 23/8 R26 40%,3,free_text
NICOTINEUR//3854-7,Nicotine [Mass/volume] in Urine,ng/mL,,>2000,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,2 lpm,3,numeric_like
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"100,000 CFU/mL Staphylococcus hominis",3,organism
ANAABTITER//9423-5,Nuclear Ab [Units/volume] in Serum by Immunofluorescence,titer,Category,1:40 CENTROMERE,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,room air 21%,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ECMO 100% 5L / ACPC 40% 15/10,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VC TV 450, Rate 14, PEEP 5, 30%",3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,25% PS,3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,Bipap 60%,3,free_text
GLUCOSEPOC//2339-0,Glucose [Mass/volume] in Blood,mg/dL,Number,<15,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,48%,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"PC 14/7, 18, 40%",3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ecmo sweep 15 fio2 100 vent pc 20 peep 10 fio2 100,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50% PEEP 14,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30%/ peep 5,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,53%,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 10/5/40%,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 15/10 30%,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,35% + 8,3,unknown
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VC+ 14, 450, 10, 30%",3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60% peep 7,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60/60,3,numeric_like
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,28% and 6 Litre,3,free_text
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PEEP 8 100%,3,free_text
